Tournament Wins,School,Season,PPG,Opp PPG,Rank Rating,Kenpom,Seed,SOS,2PPG,2PAPG,3PPG,3PAPG,FTPG,FTAPG,ORBPG,DRBPG,ASTPG,STLPG,BLKPG,TOVPG,PFPG,FG%,2P%,3P%,FT%
3,Tennessee,2013-14,79.5,67,3.23,68.00,13.00,116.00,19.51351351,38.2972973,5.540540541,17.05405405,16.56756757,23.02702703,10.05405405,21.51351351,15.27027027,6.378378378,3.216216216,9.621621622,18.89189189,0.453,0.51,0.325,0.719
2,Louisville,2013-14,68.7,63,0.31,67.00,13.00,310.00,20.62162162,39.16216216,7.783783784,21.16216216,16.43243243,24.86486486,10,23.59459459,11.89189189,6.459459459,3.324324324,12.64864865,20.13513514,0.471,0.527,0.368,0.661
0,Colorado,2013-14,48,77,2.75,64.00,8.00,9.00,18.08571429,37.2,5.171428571,16.25714286,18.51428571,25.8,8.885714286,22.14285714,12.28571429,6.857142857,2.171428571,13.02857143,18.68571429,0.435,0.486,0.318,0.718
0,Tulsa,2013-14,59,76,3.22,61.00,14.00,164.00,18.76470588,38.11764706,5.794117647,17.73529412,17.76470588,26.29411765,9.264705882,20.70588235,12.29411765,8.117647059,4.088235294,13.26470588,17.38235294,0.44,0.492,0.327,0.676
0,Saint Joseph's,2013-14,81,89,3.38,58.00,10.00,99.00,17.35294118,33.20588235,7.352941176,19.41176471,14.79411765,22.94117647,9.529411765,24.47058824,16.55882353,4.588235294,3.764705882,10.35294118,15.14705882,0.47,0.523,0.379,0.645
3,Dayton,2013-14,62.3,61.5,4.09,53.00,11.00,102.00,18.7027027,37.13513514,6.567567568,17.40540541,15.08108108,22.13513514,10.37837838,19.45945946,13.13513514,6.810810811,2.675675676,11.40540541,19.7027027,0.463,0.504,0.377,0.681
0,Manhattan,2013-14,64,71,4.81,52.00,6.00,79.00,18.78787879,38.57575758,6.303030303,17.09090909,20.48484848,30.87878788,9.96969697,25.33333333,12.24242424,7.909090909,5,16.6969697,21.6969697,0.451,0.487,0.369,0.663
0,Brigham Young,2013-14,68,87,5.85,50.00,10.00,45.00,23.85714286,48.2,5.057142857,14.25714286,20.85714286,30.14285714,8.771428571,21.62857143,12.08571429,7.771428571,4.742857143,11.22857143,17.68571429,0.463,0.495,0.355,0.692
0,New Mexico,2013-14,53,58,1.55,48.00,11.00,22.00,19.11764706,37,5.794117647,17.44117647,18.38235294,25.38235294,7.823529412,26.64705882,17.91176471,5.117647059,2.705882353,12.82352941,17.29411765,0.458,0.517,0.332,0.724
0,Arizona State,2013-14,85,87,4.48,47.00,10.00,55.00,17.21212121,35.27272727,8.121212121,20.84848485,16.54545455,23.84848485,9.909090909,22.12121212,15.03030303,8.090909091,3.818181818,11.03030303,16.87878788,0.451,0.488,0.39,0.694
